title,item,rs,usd,link
Quartz component,Type-C 6 pin connector,10 rs,,https://quartzcomponents.com/products/c-type-female-usb-port-plug-6-pin-smd-smt-jack-solder-connector?variant=45108613841130
Quartz component,100 nF Capacitor 0603 (pack of 20),11 rs,,https://quartzcomponents.com/products/kemet-100nf-50v-0603-smd-pack-x7r-multilayer-ceramic-capacitor-10-tolerence-pack-of-20?variant=45972486193386&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOopnfKv3gKdibyX3qxzEoiDa6hgtUaGOK5H7Lh-MDVl_BFFMZAF-OTY
Quartz component,10 uf Capacitor 0603 (pack of 20),21 rs,,http://quartzcomponents.com/products/kemet-10uf-50v-0603-smd-pack-x5r-multilayer-ceramic-capacitor-20-tolerence-pack-of-20?variant=45972488650986&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOormQjJdVIfUPm8Jzy_H09CPX3UB9iPiFBMJn146FeXnQVx0CRSwGLQ
Quartz component,5.1k resistor 0603 (pack of 20),6 rs,,https://quartzcomponents.com/products/yageo-5-1k-ohm-0603-package-1-10w-smd-resistor-1-tolerance-pack-of-20-pieces?variant=45985100988650&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOorH8L1eFtB1-geEdVXaVFxpQT2Zs7EzmjMSqO0NkfrEaKZ44usU9sg
Quartz component,1k resistor 0603 (pack of 20),8 rs,,https://quartzcomponents.com/products/1k-ohm-0603-package-1-10w-smd-resistor-5-tolerance-pack-of-20-pieces?variant=44678124044522&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOooTZUS1zsB4f3PE5dWbeMA6i-khZqG8HhMp-ZGxgsbvsS7hYUcOOro
Quartz component,51k resistor 0603 (pack of 20),6 rs,,https://quartzcomponents.com/products/yageo-51k-ohm-0603-package-1-10w-smd-resistor-1-tolerance-pack-of-20-pieces?variant=45985102332138&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoqbjjwV_UHg0Lax1IWi7jHHWlf-xfHOJVs84NUd0JU7kGvNx_F1Xpw
Quartz component,91k resistor 0603 (pack of 20),6 rs,,https://quartzcomponents.com/products/yageo-91k-ohm-0603-package-1-10w-smd-resistor-1-tolerance-pack-of-20-pieces?variant=45985108295914&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOor0ea95SrJi8yn5Zt0QZCCG9dhOpSgbyvPrJ9jHpvhUALEqZPh51aI
Quartz component,120k resistor 0603 (pack of 20),9 rs,,http://quartzcomponents.com/products/yageo-120k-ohm-0603-package-1-10w-smd-resistor-1-tolerance-pack-of-20-pieces?variant=45952341246186&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoqD1xMo2XI7g5XhKPoqJ9W9hDNNtiCRHRYkYfh4kdY6JQGZcEVUeKg
Quartz component,47k resistor 0603 (pack of 20),8 rs,,https://quartzcomponents.com/products/47k-ohm-0603-package-1-10w-smd-resistor-5-tolerance-pack-of-20-pieces?variant=44678130925802&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOooEL6uf77b9l2pxGdnVwymb6JvfqBUMuJU-KKfQ8cQ5B9Sd4wPhqfc
Quartz component,100 resistor 0603 (pack of 20),9 rs,,https://quartzcomponents.com/products/yageo-100-ohm-0603-package-1-10w-smd-resistor-1-tolerance-pack-of-20-pieces?variant=45952333578474&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoppXmC4GyHg-D7tW9oWGStRGSVOujVzoYP1A64Qxte1bjKUFmxHnck
Quartz component,schotkky diode,6 rs,,https://quartzcomponents.com/products/ss34-3a-40v-schottky-diode-big-smd-do-214ab-smc?variant=45090730213610&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoqYL4UuhSCNlZop6JilovdNrUi0lwQPyl2L_DmsVe7MjnFCDSTo-Bo
Quartz component,FS8205A,10 rs,,https://quartzcomponents.com/products/fs8205a-dual-n-channel-power-mosfet-tssop-8-package?variant=45108749467882&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOortu6IVpoaGA1MsOxUJhfb98oX593FlukBAKQ-ZaavC_BDgcH1XD_8
Quartz component,DW01A,8 rs,,https://quartzcomponents.com/products/dw01a-lithium-ion-lithium-polymer-battery-protection-ic-sot-23-6-smd-package?variant=45090775204074&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoptIwAgf4qBV60TjbVLHhYQXmEZqvKJ9SMoHtxKj-r2VrewvjFFU7Y
